a_w,T_10,T_15,T_20,T_25,T_30,T_35,T_40,T_45,T_50,T_55,T_60
0.244,15.3619065882664,15.3671846642748,15.3718971182303,15.3760362859999,15.3795937972406,15.3825607078373,15.384927625208,15.3866848265426,15.3878223700479,15.388330199283,15.3881982406778
0.246,15.4019171470209,15.4073426274542,15.412203467203,15.416492433328,15.4202015774932,15.4233223677964,15.4258458134319,15.4277625822645,15.4290631113997,15.4297377108454,15.4297766603676
0.248,15.4421313626266,15.4477049009079,15.452714711237,15.4571539908757,15.4610152124903,15.464290255396,15.4669705295959,15.4690470927097,15.4705107598876,15.4713522068158,15.4715620659262
0.25,15.4825509209267,15.4882731941458,15.4934325845335,15.4980227186526,15.5020364892585,15.5054661859767,15.5083036187378,15.5105402340789,15.5121672244198,15.5131756304294,15.5135564366057
0.252,15.5231775222993,15.5290492310365,15.5343588354365,15.5391003905539,15.5432672084092,15.546851988118,15.5498469387412,15.5522438949774,15.5540344258183,15.5552099362936,15.5557617624367
0.254,15.5640128819681,15.5700347501347,15.5754952267779,15.5803887947246,15.5847091845237,15.5884495040461,15.5916023607684,15.5941599768745,15.5961142973068,15.5974570909059,15.5981800447783
0.256,15.6050587303124,15.6112315050064,15.6168435362205,15.6218897339215,15.6263642465354,15.6302605900377,15.6335717696878,15.6362903945561,15.6384087849901,15.6399190731624,15.6408132968575
0.258,15.6463168131759,15.6526412645539,15.6584055565992,15.6636050258717,15.6682342381084,15.6722871168203,15.6757570644958,15.6786370765716,15.6809198483268,15.6825978748586,15.6836635443
0.26,15.6877888921759,15.6942658133395,15.7001830962608,15.705536503631,15.7103210180138,15.7145309699679,15.7181601587361,15.7212019656753,15.7236494605968,15.725495501183,15.7267328256514
0.262,15.7294767450125,15.7361069519087,15.7421779794033,15.7476860159388,15.7526264605036,15.7569940502953,15.760782980913,15.7639870192635,15.7665996093616,15.7686139712035,15.7700231928923
0.264,15.7713821657781,15.7781664971142,15.7843920464138,15.7900554275733,15.7951524556827,15.7996782742482,15.8036274749036,15.8069942098075,15.8097722969205,15.8119553183489,15.813536711945
0.266,15.8135069652673,15.8204462824386,15.8268271542071,15.832646619705,15.8379009098798,15.8425855742929,15.8466956003655,15.8502255252829,15.8531695407627,15.8555215908836,15.8572754631742
0.268,15.8558529712879,15.8629481583192,15.8694851765636,15.8754614902499,15.8808737460167,15.8857178993028,15.8899893331431,15.8936829695956,15.8967933740147,15.8993148523793,15.9012415418828
0.27,15.8984220289726,15.9056739924719,15.9123680044672,15.9185019542226,15.9240729039775,15.9290772149445,15.9335106656715,15.9373685630053,15.9406458458845,15.9433371821803,15.9454370588014
0.272,15.9412160010925,15.948625670217,15.9554775464446,15.9617699440894,15.9675003409765,15.9726655040627,15.9772616073793,15.9812843425472,15.9847290221033,15.9875906758676,15.9898641405742
0.274,15.9842367683717,15.9918050948061,15.9988157289046,16.0052674101218,16.0111580319271,16.0164847670643,16.0212441850893,16.025432362451,16.0290449853645,16.0320774457173,16.0345249302404
0.276,16.0274862298034,16.0352141877497,16.0423844964789,16.0489963207502,16.0550479698098,16.0605370223026,16.0654604434197,16.0698146945594,16.0735958357602,16.0767996211587,16.0794215877123
0.278,16.0709663029685,16.0788548891474,16.0861858123636,16.0929586629196,16.0991721660418,16.104824306461,16.1099124451838,16.1144334287453,16.1183836912171,16.121759349228,16.1245562902511
0.28,16.1146789243561,16.1227291580189,16.1302216586635,16.1371564424451,16.1435326508461,16.149348674938,16.1546022717899,16.1592906733282,16.1634106879304,16.166958795022,16.1699312329388
0.282,16.1586260496855,16.1668389726381,16.1744940367362,16.18159168437,16.1881314736234,16.1941122022316,16.1995320236416,16.2043885554904,16.2086789807972,16.2124001421492,16.21554862915
0.284,16.2028096542323,16.2111863308684,16.2190049675402,16.226266433325,16.2329707033233,16.2391169823259,16.2447038205389,16.2497292216936,16.2541907438496,16.2580855931808,16.2614107110204
0.286,16.2472317331552,16.2557732505014,16.2637564919839,16.2711827538894,16.2780524288189,16.2843651290782,16.2901198020792,16.2953148380956,16.2999481706878,16.3040173701004,16.3075197299157
0.288,16.2918943018275,16.3006017695975,16.3087506712772,16.3163427309543,16.3233787592823,16.3298587766075,16.3357821280605,16.341147590968,16.3459534749131,16.3501977147541,16.3538779568983
0.29,16.3367993961704,16.3456739468295,16.3539895872863,16.3617484700887,16.3689518245623,16.3756000796858,16.3816929788853,16.3872296871147,16.3922088905617,16.3966288893008,16.4004876831955
0.292,16.3819490729897,16.3909918618299,16.3994753428904,16.4074020979074,16.4147737755645,16.4215912141302,16.4278545559669,16.4335633542918,16.4387166725403,16.4433131766626,16.447351220666
